datetime,aqi,pm25,pm10,so2,no2,co,o3,co_8h,o3_8h,nmhc,wind_speed,wind_dir,rh,total,car,motorcycle,bus,truck,co2_kg_h,temperature_c,weather,rain_probability,wind_dir_text,comfort
2026/6/16 00:00,12,2.7,7,0.4,5,0.11,11,0.20,9,0.04,2.2,162,99,706,604,16,28,58,239.91,24,下雨,30,偏南風,舒適
2026/6/16 01:00,13,2.6,8,0.3,3,0.09,12,0.10,10,0.02,1.2,186,93,588,465,14,26,83,210.68,24,下雨,30,偏南風,舒適
2026/6/16 02:00,15,2.4,9,0.8,4,0.09,12,0.10,10,0.03,1.3,159,90,468,383,10,39,36,161.06,24,下雨,30,偏南風,舒適
2026/6/16 03:00,15,1.2,9,0.8,5,0.10,9,0.10,11,0.05,0.9,154,91,430,318,7,44,61,157.90,24,下雨,50,偏南風,舒適
2026/6/16 04:00,17,1.2,10,1.2,6,0.12,10,0.10,11,0.04,1.2,152,90,373,326,12,7,28,124.42,24,下雨,50,偏南風,舒適
2026/6/16 05:00,17,1.3,10,1.7,7,0.18,9,0.10,11,0.05,0.9,153,88,705,364,116,37,188,266.42,24,下雨,50,偏南風,舒適
2026/6/16 06:00,19,1.7,10,1.6,8,0.21,7,0.10,10,0.05,0.3,132,87,1846,809,541,125,371,630.67,25,雷雨,50,偏南風,舒適
2026/6/16 07:00,20,2.6,12,1.6,8,0.24,8,0.10,10,0.08,1.6,160,85,6340,2968,2280,380,712,1927.94,26,雷雨,50,偏南風,舒適
2026/6/16 08:00,21,3.1,12,1.2,9,0.32,8,0.10,9,0.09,1.5,159,80,5932,2924,1861,340,807,1883.38,27,雷雨,50,偏南風,舒適
2026/6/16 09:00,24,3.7,14,1.3,10,0.38,9,0.20,9,0.12,2.1,178,77,6127,2750,2037,351,989,1976.60,28,下雨,40,東南風,悶熱
2026/6/16 10:00,29,3.8,15,1.9,12,0.35,10,0.20,9,0.14,2.29,157,74,5953,2683,2018,440,812,1882.43,29,下雨,40,東南風,悶熱
2026/6/16 11:00,27,3.4,16,1.3,8,0.24,17,0.20,10,0.1,2.7,158,74,6016,2877,1815,391,933,1961.38,29,下雨,40,東南風,悶熱
2026/6/16 12:00,28,3.4,17,1.3,7,0.22,23,0.20,11,0.09,2,161,75,5362,2534,1604,370,854,1759.78,29,下雨,40,東南風,悶熱
2026/6/16  13:00:00 PM,28,4.7,17,1.2,8,0.23,22,0.20,13,0.11,2.7,180,78,5287,2579,1405,355,948,1791.23,29,下雨,40,東南風,悶熱
2026/6/16  14:00:00 PM,27,5.2,16,1,4,0.12,18,0.20,14,0.04,2.1,199,76,5633,2878,1560,331,864,1848.67,29,下雨,40,東南風,悶熱
2026/6/16  15:00:00 PM,25,4.7,15,0.9,4,0.15,16,0.20,15,0.07,2.2,192,76,6068,3127,1707,311,923,1979.34,29,下雨,30,偏南風,悶熱
2026/6/16  16:00:00 PM,25,5.1,15,0.9,6,0.18,13,0.20,16,0.08,1.6,313,79,5206,3419,799,353,635,1755.53,29,下雨,30,偏南風,悶熱
2026/6/16  17:00:00 PM,23,4.2,14,0.9,5,0.13,18,0.20,17,0.04,0.9,136,91,4692,3460,442,324,466,1589.75,28,下雨,30,偏南風,悶熱
2026/6/16  18:00:00 PM,23,4.5,14,0.8,9,0.24,15,0.10,18,0.1,1.6,139,99,4316,3428,362,308,218,1405.52,28,下雨,30,東南風,悶熱
2026/6/16  19:00:00 PM,26,4.9,14,0.8,11,0.30,11,0.10,17,0.15,0.9,119,99,3514,2792,343,275,104,1118.23,27,下雨,30,東南風,舒適
2026/6/16  20:00:00 PM,24,4.2,13,0.8,10,0.23,10,0.10,15,0.12,1.5,129,95,2861,2236,324,185,116,908.58,27,下雨,30,東南風,舒適
2026/6/16  21:00:00 PM,20,4,12,0.9,7,0.17,12,0.10,14,0.06,1.3,138,90,2613,2123,204,165,121,846.90,27,下雨,30,東南風,舒適
2026/6/16  22:00:00 PM,20,3.2,12,0.8,6,0.15,11,0.10,13,0.05,1.8,166,89,1626,1323,106,92,105,537.64,27,下雨,30,偏南風,舒適
2026/6/16  23:00:00 PM,18,2.8,11,0.7,5,0.13,12,0.10,13,0.04,1.6,165,89,963,769,57,49,88,326.41,26,下雨,30,偏南風,舒適
